hardware,cpu,driver,profile,status,provisional,workers,extra_irq_cpus,rx_queues,throughput_mpps,dataplane_cycles_per_packet,dataplane_instructions_per_packet,main_cycles_per_packet,main_instructions_per_packet,system_cycles_per_packet,system_instructions_per_packet,repeats,window_seconds,throughput_sd_mpps,qualification
ConnectX-5,Intel Xeon Gold 6248R,RDMA-DV,primary,final,false,1,0,1,24.310402,127.237,331.600,2.170,3.407,129.407,335.007,3,20,0.004353,maximum true Ethernet64; zero PAUSE
ConnectX-5,Intel Xeon Gold 6248R,RDMA-DV,primary,final,false,2,0,2,45.389341,135.840,331.216,1.148,1.799,136.988,333.015,3,20,0.059406,maximum true Ethernet64; balanced RX queues; zero PAUSE
ConnectX-5,Intel Xeon Gold 6248R,RDMA-DV,primary,final,false,4,0,4,60.620018,203.355,,0.682,,204.037,,3,20,0.057621,true Ethernet64 maximum under TX pressure; RXQ and worker TX spread below 0.2%; physical TX errors discards and PAUSE zero
ConnectX-5,Intel Xeon Gold 6248R,DPDK mlx5,primary,final,false,1,0,1,18.979669,162.973,450.655,2.706,4.311,165.679,454.966,3,20,0.008014,true Ethernet64 maximum under overload; dedicated main and worker TXQs; RX overload disclosed
ConnectX-5,Intel Xeon Gold 6248R,DPDK mlx5,primary,final,false,2,0,2,36.373920,169.512,456.336,1.473,2.311,170.984,458.647,3,20,0.015872,true Ethernet64 maximum under overload; dedicated main and worker TXQs; balanced RX queues
ConnectX-5,Intel Xeon Gold 6248R,DPDK mlx5,primary,final,false,4,0,4,55.063116,223.877,,0.755,,224.632,,3,20,0.212274,true Ethernet64 maximum under TX pressure; main TXQ inactive and four worker TXQs exclusive; RX and TX spread below 0.1%
ConnectX-5,Intel Xeon Gold 6248R,AF_XDP ZC,strict,final,true,1,0,1,4.992108,619.620,1480.352,10.469,16.591,630.090,1496.943,3,20,0.011785,true Ethernet64 peak under overload; IRQ and NAPI colocated and counted; ZC proven; cyclic fix carried unchanged in v3 under review
ConnectX-5,Intel Xeon Gold 6248R,AF_XDP ZC,strict,final,true,2,0,2,9.485126,650.034,1531.157,5.586,8.700,655.619,1539.857,3,20,0.003884,true Ethernet64 peak under overload; IRQ and NAPI colocated and counted; balanced RX queues; cyclic fix carried unchanged in v3 under review
ConnectX-5,Intel Xeon Gold 6248R,AF_XDP ZC,strict,final,true,4,0,4,9.697665,1267.786,,5.949,,1273.735,,3,20,0.086627,true Ethernet64 pressure point; four colocated IRQ and NAPI paths counted; ZC4; RXQ spread below 0.54%; cyclic fix carried unchanged in v3 under review
ConnectX-5,Intel Xeon Gold 6248R,AF_XDP ZC,maximum,final,true,1,1,1,6.415673,1042.073,2265.032,8.409,13.068,1050.482,2278.100,3,20,0.015902,true Ethernet64 peak under overload; one separate IRQ CPU counted; ZC proven; cyclic fix carried unchanged in v3 under review
ConnectX-5,Intel Xeon Gold 6248R,AF_XDP ZC,maximum,final,true,2,2,2,12.436946,1071.297,2295.266,4.306,6.753,1075.603,2302.019,3,20,0.127616,true Ethernet64 peak under overload; two separate IRQ CPUs counted; balanced RX queues; cyclic fix carried unchanged in v3 under review
ConnectX-5,Intel Xeon Gold 6248R,AF_XDP ZC,maximum,final,true,4,4,4,14.021406,1688.202,,3.668,,1691.870,,3,20,0.011585,true Ethernet64 maximum under TX and completion pressure; four separate IRQ CPUs counted; ZC4; RXQ spread below 0.02%; cyclic fix carried unchanged in v3 under review
ConnectX-6 Dx,Intel Xeon Platinum 8562Y+,RDMA-DV,primary,final,false,1,0,4,45.369550,90.153,316.801,0.580,1.212,90.733,318.013,3,20,0.213310,true Ethernet64 highest clean retained point; zero PAUSE errors and discards; balanced RX queues
ConnectX-6 Dx,Intel Xeon Platinum 8562Y+,RDMA-DV,primary,final,true,2,0,4,60.893367,134.211,445.618,0.422,0.874,134.633,446.493,3,20,0.012054,true Ethernet64 maximum under controlled overload with full-packet eMPW inline and immediate release; measured warm-up placement q0+q2 and q1+q3; RXQ spread below 0.136%; source headroom; not NDR
ConnectX-6 Dx,Intel Xeon Platinum 8562Y+,RDMA-DV,primary,final,true,4,0,8,109.048558,149.917,496.182,0.244,,150.161,,3,20,0.023530,true Ethernet64 maximum under controlled overload with disabled-by-default full-packet eMPW inline prototype; source headroom; RXQ spread below 0.083%; main QP inactive; no-free disclosed; not NDR
ConnectX-6 Dx,Intel Xeon Platinum 8562Y+,RDMA-DV,primary,final,true,5,0,20,124.564334,164.023,576.816,0.214,0.455,164.237,577.271,3,20,0.042404,true Ethernet64 maximum under controlled overload with full-packet eMPW inline and immediate release; four RXQ per worker; RXQ spread below 0.992%; CQE every 32 with 8192-entry ownership ring; not NDR
ConnectX-6 Dx,Intel Xeon Platinum 8562Y+,RDMA-DV,primary,final,true,6,0,12,122.867336,199.526,725.189,0.208,0.443,199.734,725.632,3,20,0.049294,true Ethernet64 maximum under controlled overload with full-packet eMPW inline and immediate release; two RXQ per worker; RXQ spread below 0.461%; one null-node control packet in two windows; no physical or RDMA error; not NDR
ConnectX-6 Dx,Intel Xeon Platinum 8562Y+,RDMA-DV,pointer_control,final,false,2,0,4,52.814149,154.925,562.506,0.482,1.022,155.407,563.528,3,20,0.461809,true Ethernet64 clean pointer-data-segment baseline; zero PAUSE errors and discards; retained causal control
ConnectX-6 Dx,Intel Xeon Platinum 8562Y+,RDMA-DV,pointer_control,final,false,4,0,8,53.232681,307.075,1242.695,0.485,0.984,307.560,1243.678,3,20,0.113132,true Ethernet64 pointer-data-segment control under controlled overload; source headroom 6.5-10.4%; RXQ spread below 0.043%; main QP inactive; no-free disclosed; not NDR
ConnectX-6 Dx,Intel Xeon Platinum 8562Y+,RDMA-DV,pointer_control,final,false,5,0,10,53.445082,382.337,1584.736,0.483,1.033,382.819,1585.769,3,20,0.047450,true Ethernet64 pointer-data-segment control under controlled overload; source headroom; RXQ spread below 0.321%; main QP inactive; no-free disclosed; not NDR
ConnectX-6 Dx,Intel Xeon Platinum 8562Y+,RDMA-DV,pointer_control,final,false,6,0,12,53.005157,462.563,1958.660,0.484,1.033,463.047,1959.693,3,20,0.044353,true Ethernet64 pointer-data-segment control under controlled overload; source headroom; RXQ spread below 0.422%; main QP inactive; no-free disclosed; not NDR
ConnectX-6 Dx,Intel Xeon Platinum 8562Y+,DPDK mlx5,primary,final,false,1,0,2,34.800,117.4,441.2,,,,,3,20,0.052105,true Ethernet64 maximum under deliberate RX overload; one worker-exclusive TXQ plus inactive main TXQ; rx-miss disclosed; not NDR
ConnectX-6 Dx,Intel Xeon Platinum 8562Y+,DPDK mlx5,primary,final,false,2,0,2,59.308383,137.786,543.079,,,,,3,20,0.027727,true Ethernet64 maximum under deliberate RX overload; one worker-exclusive TXQ per worker plus inactive main TXQ; complete-packet eMPW inline explicitly enabled; not NDR
ConnectX-6 Dx,Intel Xeon Platinum 8562Y+,DPDK mlx5,primary,final,false,4,0,8,101.838215,160.497,608.439,,,,,3,20,0.078830,true Ethernet64 maximum under deliberate RX overload; one worker-exclusive TXQ per worker plus inactive main TXQ; complete-packet eMPW inline explicitly enabled; not NDR
ConnectX-6 Dx,Intel Xeon Platinum 8562Y+,DPDK mlx5,primary,final,false,5,0,10,114.891147,177.802,670.638,,,,,3,20,0.073941,true Ethernet64 maximum under deliberate RX overload; one worker-exclusive TXQ per worker plus inactive main TXQ; complete-packet eMPW inline explicitly enabled; not NDR
ConnectX-6 Dx,Intel Xeon Platinum 8562Y+,DPDK mlx5,primary,final,false,6,0,12,117.260061,208.865,806.649,,,,,3,20,0.073900,true Ethernet64 maximum under deliberate RX overload; one worker-exclusive TXQ per worker plus inactive main TXQ; complete-packet eMPW inline explicitly enabled; source measured at 133.4 Mpps; not NDR
ConnectX-6 Dx,Intel Xeon Platinum 8562Y+,AF_XDP ZC,strict,final,true,1,0,1,8.482055,482.099,1551.788,4.214,7.076,486.312,1558.865,3,20,0.007398,true Ethernet64 maximum under overload; one colocated IRQ and NAPI path counted; ZC proven; cyclic fix carried unchanged in v3 under review
ConnectX-6 Dx,Intel Xeon Platinum 8562Y+,AF_XDP ZC,strict,final,true,2,0,4,15.615933,523.404,1520.868,2.392,4.039,525.796,1524.906,3,20,0.110036,true Ethernet64 maximum under overload; four IRQs colocated on two workers; input spread below 0.009%; cyclic fix carried unchanged in v3 under review
ConnectX-6 Dx,Intel Xeon Platinum 8562Y+,AF_XDP ZC,maximum,final,true,1,4,4,17.796704,757.675,2175.587,2.197,3.494,759.872,2179.081,3,20,0.032153,true Ethernet64 maximum under overload; four separate IRQ CPUs counted; ZC4; input spread below 0.012%; cyclic fix carried unchanged in v3 under review
ConnectX-6 Dx,Intel Xeon Platinum 8562Y+,AF_XDP ZC,maximum,final,true,2,4,4,33.367452,618.820,1931.983,1.025,1.721,619.845,1933.704,3,20,0.123914,true Ethernet64 maximum under overload; four separate IRQ CPUs counted; ZC4; input spread below 0.029%; cyclic fix carried unchanged in v3 under review
BlueField-3,Arm Cortex-A78AE,RDMA-DV,primary,final,false,1,0,1,14.202116,140.492,349.747,4.597,8.924,145.089,358.671,3,20,0.123876,true Ethernet64 maximum under deliberate RX overload; not NDR; zero PAUSE and TX errors
BlueField-3,Arm Cortex-A78AE,RDMA-DV,primary,final,false,2,0,2,27.211196,146.576,349.347,2.414,4.649,148.990,353.996,3,20,0.065074,true Ethernet64 maximum under deliberate RX overload; balanced RX queues; not NDR
BlueField-3,Arm Cortex-A78AE,RDMA-DV,primary,final,false,4,0,4,55.349200,144.184,358.223,1.190,2.260,145.374,360.483,3,20,0.016307,true Ethernet64 maximum under deliberate RX pressure; one QP per worker; RXQ spread below 0.89%; source headroom 10.5%; not NDR
BlueField-3,Arm Cortex-A78AE,DPDK mlx5,primary,final,false,1,0,1,10.252318,194.604,453.001,6.505,12.447,201.109,465.448,3,20,0.006174,true Ethernet64 maximum under deliberate RX overload; not NDR; zero PAUSE and TX errors
BlueField-3,Arm Cortex-A78AE,DPDK mlx5,primary,final,false,2,0,2,21.034817,189.639,459.974,3.167,6.054,192.806,466.028,3,20,0.017544,true Ethernet64 maximum under deliberate RX overload; balanced RX queues; not NDR
BlueField-3,Arm Cortex-A78AE,DPDK mlx5,primary,final,false,4,0,4,42.238782,188.967,469.446,1.588,3.033,190.555,472.478,3,20,0.003546,true Ethernet64 counter-clean near-knee point; inactive main TXQ plus four exclusive worker TXQs; RXQ and TXQ spread below 0.43%; RX-to-TX gap 0.20%; not NDR
BlueField-3,Arm Cortex-A78AE,AF_XDP ZC,scope,not_measured,false,,,,,,,,,,,,,,excluded from study scope; not a capability claim
