hardware,driver,profile,status,workers,rx_queues,nic_rxd,nic_txd,xsk_rxd,xsk_txd,buffers,data_size,rx_mode,tx_mode,main_thread_cpu,worker_thread_cpus,numa_locality,rxq_per_worker,rxq_to_worker_thread_cpu,txq_qp_to_producer_worker_cpu,txq_qp_ownership,balance_evidence,placement_limitations,important_options
ConnectX-5,AF_XDP ZC,strict,final,1,1,,,4096,1024,1048576,1792,cyclic,XSK zero-copy,thread0/CPU24,worker0=thread1/CPU25,NIC main worker and IRQ/NAPI local on NUMA1,1,q0->worker0/thread1/CPU25,TXQ0->worker0/thread1/CPU25; TXQ1->main/thread0/CPU24,private W+1,one RXQ,q0 IRQ/NAPI->CPU25; TX-only q1 IRQ->CPU24; no auxiliary CPU,true Ethernet64; XDP_ZEROCOPY; mac-reuse; no-syscall-lock; RX4096 TX1024; gro timeout20us; NAPI defer8; busy poll off
ConnectX-5,AF_XDP ZC,strict,final,2,2,,,4096,1024,1048576,1792,cyclic,XSK zero-copy,thread0/CPU24,worker0=thread1/CPU25; worker1=thread2/CPU26,NIC main workers and IRQ/NAPI local on NUMA1,1,q0->worker0/thread1/CPU25; q1->worker1/thread2/CPU26,TXQ0->worker0/thread1/CPU25; TXQ1->worker1/thread2/CPU26; TXQ2->main/thread0/CPU24,private W+1,RXQ spread <=0.006%,q0/q1 IRQ/NAPI->CPU25/CPU26; TX-only q2 IRQ->CPU24; no auxiliary CPU,true Ethernet64; XDP_ZEROCOPY; mac-reuse; no-syscall-lock; RX4096 TX1024; gro timeout20us; NAPI defer8; busy poll off
ConnectX-5,AF_XDP ZC,strict,final,4,4,,,4096,1024,1048576,1792,cyclic,XSK zero-copy,thread0/CPU24,worker0/CPU25; worker1/CPU26; worker2/CPU27; worker3/CPU28,NIC main workers and IRQ/NAPI local on NUMA1,1,q0->worker0/CPU25; q1->worker1/CPU26; q2->worker2/CPU27; q3->worker3/CPU28,TXQ0->worker0/CPU25; TXQ1->worker1/CPU26; TXQ2->worker2/CPU27; TXQ3->worker3/CPU28; TXQ4->main/CPU24,private W+1,RXQ spread <=0.009%,q0-q3 IRQ/NAPI->CPU25-28; TX-only q4 IRQ->CPU24; no auxiliary CPU,true Ethernet64; XDP_ZEROCOPY; mac-reuse; no-syscall-lock; RX4096 TX1024; gro timeout20us; NAPI defer8; busy poll off
ConnectX-6 Dx,RDMA-DV,primary,final,1,4,512,2048,,,131072,1664,no-striding,eMPW,thread0/CPU20,worker0=thread1/CPU21,NIC main and worker local on NUMA0,4,q0+q1+q2+q3->worker0/thread1/CPU21,worker0/thread1/CPU21->thread-local QP; main/thread0/CPU20 QP also provisioned,thread-local/dedicated,RXQ spread <=0.0197%,QPN/CQN and main-QP activity not exposed by old artifact; ownership follows thread-local architecture,true Ethernet64; mode=dv; no-multi-seg; rss=ipv4-udp; one QP per VPP thread
ConnectX-6 Dx,RDMA-DV,primary,final,2,4,512,2048,,,262144,1664,no-striding,eMPW full-packet inline prototype,thread0/CPU20,worker0=thread1/CPU21; worker1=thread2/CPU22,NIC main and workers local on NUMA0,2,q0+q2->worker0/thread1/CPU21; q1+q3->worker1/thread2/CPU22,main->inactive QP; worker0->QP; worker1->QP,thread-local/dedicated,RXQ spread <=0.136%; measured warm-up pairing gives each worker one queue from each RSS rate class,maximum under priority-buffer and software TX pressure; not NDR; prototype is disabled by default,true Ethernet64; mode=dv; no-striding; no-multi-seg; rss=ipv4-udp; full-packet eMPW inline up to 64 bytes; immediate buffer release
ConnectX-6 Dx,RDMA-DV,primary,final,4,8,512,2048,,,262144,1664,no-striding,eMPW full-packet inline prototype,thread0/CPU20,workers0-3/CPU21-24,NIC main and workers local on NUMA0,2,q0+q4->worker0; q1+q5->worker1; q2+q6->worker2; q3+q7->worker3,main->inactive QP; worker0->QP; worker1->QP; worker2->QP; worker3->QP,thread-local/dedicated,RXQ spread <=0.083%; all worker QPs active,maximum under priority-buffer and software TX pressure; not NDR; prototype is disabled by default,true Ethernet64; mode=dv; no-striding; no-multi-seg; rss=ipv4-udp; full-packet eMPW inline up to 64 bytes; immediate buffer release
ConnectX-6 Dx,RDMA-DV,primary,final,5,20,512,2048,,,262144,1664,no-striding,eMPW full-packet inline prototype,thread0/CPU20,workers0-4/CPU21-25,NIC main and workers local on NUMA0,4,q0+q5+q10+q15->worker0; q1+q6+q11+q16->worker1; q2+q7+q12+q17->worker2; q3+q8+q13+q18->worker3; q4+q9+q14+q19->worker4,main->inactive QP; worker0->QP; worker1->QP; worker2->QP; worker3->QP; worker4->QP,thread-local/dedicated,RXQ spread <=0.992%; all 20 RXQ active,maximum under controlled overload; not NDR; prototype is disabled by default,true Ethernet64; mode=dv; no-striding; no-multi-seg; rss=ipv4-udp; full-packet eMPW inline up to 64 bytes; immediate buffer release; CQE every 32; ownership ring 8192; tx-debug off
ConnectX-6 Dx,RDMA-DV,primary,final,6,12,512,2048,,,262144,1664,no-striding,eMPW full-packet inline prototype,thread0/CPU20,workers0-5/CPU21-26,NIC main and workers local on NUMA0,2,q0+q6->worker0; q1+q7->worker1; q2+q8->worker2; q3+q9->worker3; q4+q10->worker4; q5+q11->worker5,main->inactive QP; worker0->QP; worker1->QP; worker2->QP; worker3->QP; worker4->QP; worker5->QP,thread-local/dedicated,RXQ spread <=0.461%; all 12 RXQ active,maximum under controlled overload; not NDR; one null-node control packet in two windows; no physical or RDMA error,true Ethernet64; mode=dv; no-striding; no-multi-seg; rss=ipv4-udp; full-packet eMPW inline up to 64 bytes; immediate buffer release; CQE every 32; ownership ring 8192; tx-debug off
ConnectX-6 Dx,RDMA-DV,pointer_control,final,2,4,256,2048,,,131072,1664,no-striding,eMPW pointer data segment,thread0/CPU20,worker0=thread1/CPU21; worker1=thread2/CPU22,NIC main and workers local on NUMA0,2,q0+q2->worker0/thread1/CPU21; q1+q3->worker1/thread2/CPU22,worker0/thread1/CPU21 and worker1/thread2/CPU22 each use a thread-local QP; main QP also provisioned,thread-local/dedicated,RXQ spread <=0.0197%,QPN/CQN and main-QP activity not exposed by old artifact; retained causal control,true Ethernet64; mode=dv; no-multi-seg; rss=ipv4-udp; one QP per VPP thread; eMPW pointer data segments
ConnectX-6 Dx,RDMA-DV,pointer_control,final,4,8,512,2048,,,262144,1664,no-striding,eMPW pointer data segment,thread0/CPU20,workers0-3/CPU21-24,NIC main and workers local on NUMA0,2,q0+q4->worker0; q1+q5->worker1; q2+q6->worker2; q3+q7->worker3,main->inactive QP; worker0->QP; worker1->QP; worker2->QP; worker3->QP,thread-local/dedicated,RXQ spread <=0.043%; all worker QPs active,one run had 811 priority-buffer discards; software no-free disclosed; not NDR,true Ethernet64; mode=dv; no-striding; no-multi-seg; rss=ipv4-udp; eMPW pointer data segments
ConnectX-6 Dx,RDMA-DV,pointer_control,final,5,10,512,2048,,,262144,1664,no-striding,eMPW pointer data segment,thread0/CPU20,workers0-4/CPU21-25,NIC main and workers local on NUMA0,2,q0+q5->worker0; q1+q6->worker1; q2+q7->worker2; q3+q8->worker3; q4+q9->worker4,main->inactive QP; worker0->QP; worker1->QP; worker2->QP; worker3->QP; worker4->QP,thread-local/dedicated,RXQ spread <=0.321%; all worker QPs active,software no-free disclosed; not NDR,true Ethernet64; mode=dv; no-striding; no-multi-seg; rss=ipv4-udp; eMPW pointer data segments
ConnectX-6 Dx,RDMA-DV,pointer_control,final,6,12,512,2048,,,262144,1664,no-striding,eMPW pointer data segment,thread0/CPU20,workers0-5/CPU21-26,NIC main and workers local on NUMA0,2,q0+q6->worker0; q1+q7->worker1; q2+q8->worker2; q3+q9->worker3; q4+q10->worker4; q5+q11->worker5,main->inactive QP; worker0->QP; worker1->QP; worker2->QP; worker3->QP; worker4->QP; worker5->QP,thread-local/dedicated,RXQ spread <=0.422%; all worker QPs active,source headroom; software no-free disclosed; not NDR,true Ethernet64; mode=dv; no-striding; no-multi-seg; rss=ipv4-udp; eMPW pointer data segments
ConnectX-6 Dx,DPDK mlx5,primary,final,1,2,512,2048,,,262144,1664,,DPDK enhanced MPW,thread0/CPU20,worker0/CPU21,NIC main and worker local on NUMA0,2,q0+q1->worker0,TXQ0->main inactive; TXQ1->worker0,dedicated/non-shared,RXQ spread <=0.952%; TXQ0 zero packets,maximum under RX overload; rx-miss disclosed; not NDR,true Ethernet64; p1; vector RX; CQE compression; enhanced MPW; weighted RETA
ConnectX-6 Dx,DPDK mlx5,primary,final,2,2,512,2048,,,262144,1664,,DPDK enhanced MPW full-packet inline,thread0/CPU20,worker0/CPU21; worker1/CPU22,NIC main and workers local on NUMA0,1,q0->worker0; q1->worker1,TXQ0->main inactive; worker0->TXQ1; worker1->TXQ2,dedicated/non-shared,RXQ and active-TXQ spread <=0.062%; TXQ0 zero packets,maximum under overload; not NDR,true Ethernet64; p1; complete-packet eMPW inline explicitly forced; vector RX; CQE compression; weighted RETA
ConnectX-6 Dx,DPDK mlx5,primary,final,4,8,512,2048,,,262144,1664,,DPDK enhanced MPW full-packet inline,thread0/CPU20,workers0-3/CPU21-24,NIC main and workers local on NUMA0,2,q0+q4->worker0; q1+q5->worker1; q2+q6->worker2; q3+q7->worker3,TXQ0->main inactive; worker0->TXQ1; worker1->TXQ2; worker2->TXQ3; worker3->TXQ4,dedicated/non-shared,RXQ spread <=0.233%; active-TXQ spread <=0.170%; TXQ0 zero packets,maximum under overload; not NDR,true Ethernet64; p1; complete-packet eMPW inline explicitly forced; vector RX; CQE compression; weighted RETA
ConnectX-6 Dx,DPDK mlx5,primary,final,5,10,512,2048,,,262144,1664,,DPDK enhanced MPW full-packet inline,thread0/CPU20,workers0-4/CPU21-25,NIC main and workers local on NUMA0,2,q0+q5->worker0; q1+q6->worker1; q2+q7->worker2; q3+q8->worker3; q4+q9->worker4,TXQ0->main inactive; worker0->TXQ1; worker1->TXQ2; worker2->TXQ3; worker3->TXQ4; worker4->TXQ5,dedicated/non-shared,RXQ and active-TXQ spread <=0.035%; TXQ0 zero packets,maximum under overload; not NDR,true Ethernet64; p1; complete-packet eMPW inline explicitly forced; vector RX; CQE compression; weighted RETA
ConnectX-6 Dx,DPDK mlx5,primary,final,6,12,512,2048,,,262144,1664,,DPDK enhanced MPW full-packet inline,thread0/CPU20,workers0-5/CPU21-26,NIC main and workers local on NUMA0,2,q0+q6->worker0; q1+q7->worker1; q2+q8->worker2; q3+q9->worker3; q4+q10->worker4; q5+q11->worker5,TXQ0->main inactive; worker0->TXQ1; worker1->TXQ2; worker2->TXQ3; worker3->TXQ4; worker4->TXQ5; worker5->TXQ6,dedicated/non-shared,RXQ spread <=0.094%; active-TXQ spread <=0.046%; TXQ0 zero packets,source 133.4 Mpps; maximum under overload; not NDR,true Ethernet64; p1; complete-packet eMPW inline explicitly forced; vector RX; CQE compression; weighted RETA
ConnectX-6 Dx,AF_XDP ZC,strict,final,1,1,,,2048,2048,1048576,1792,cyclic,XSK zero-copy,thread0/CPU20,worker0=thread1/CPU21,NIC main worker and IRQ/NAPI local on NUMA0,1,q0->worker0/thread1/CPU21,TXQ0->worker0/thread1/CPU21; TXQ1->main/thread0/CPU20,private W+1,one RXQ,q0 IRQ/NAPI->CPU21; TX-only q1 IRQ->CPU20; no auxiliary CPU,true Ethernet64; XDP_ZEROCOPY; mac-reuse; no-syscall-lock; RX/TX2048; gro timeout20us; NAPI defer8; busy poll50 prefer budget16
ConnectX-6 Dx,AF_XDP ZC,strict,final,2,2,,,2048,2048,1048576,1792,cyclic,XSK zero-copy,thread0/CPU20,worker0=thread1/CPU21; worker1=thread2/CPU22,NIC main workers and IRQ/NAPI local on NUMA0,1,q0->worker0/thread1/CPU21; q1->worker1/thread2/CPU22,TXQ0->worker0/thread1/CPU21; TXQ1->worker1/thread2/CPU22; TXQ2->main/thread0/CPU20,private W+1,RXQ spread <=0.408%,q0/q1 IRQ/NAPI->CPU21/CPU22; TX-only q2 IRQ->CPU20; no auxiliary CPU,true Ethernet64; XDP_ZEROCOPY; mac-reuse; no-syscall-lock; RX/TX2048; gro timeout20us; NAPI defer8; busy poll50 prefer budget16
ConnectX-6 Dx,AF_XDP ZC,strict,final,4,4,,,2048,2048,1048576,1792,cyclic,XSK zero-copy,thread0/CPU20,worker0/CPU21; worker1/CPU22; worker2/CPU23; worker3/CPU24,NIC main workers and IRQ/NAPI local on NUMA0,1,q0->worker0/CPU21; q1->worker1/CPU22; q2->worker2/CPU23; q3->worker3/CPU24,TXQ0->worker0/CPU21; TXQ1->worker1/CPU22; TXQ2->worker2/CPU23; TXQ3->worker3/CPU24; TXQ4->main/CPU20,private W+1,RXQ spread <=0.326%,q0-q3 IRQ/NAPI->CPU21-24; TX-only q4 IRQ->CPU20; no auxiliary CPU,true Ethernet64; XDP_ZEROCOPY; mac-reuse; no-syscall-lock; RX/TX2048; gro timeout20us; NAPI defer8; busy poll50 prefer budget16
ConnectX-6 Dx,AF_XDP ZC,strict,final,5,5,,,2048,2048,1048576,1792,cyclic,XSK zero-copy,thread0/CPU20,worker0/CPU21; worker1/CPU22; worker2/CPU23; worker3/CPU24; worker4/CPU25,NIC main workers and IRQ/NAPI local on NUMA0,1,q0->worker0/CPU21; q1->worker1/CPU22; q2->worker2/CPU23; q3->worker3/CPU24; q4->worker4/CPU25,TXQ0->worker0/CPU21; TXQ1->worker1/CPU22; TXQ2->worker2/CPU23; TXQ3->worker3/CPU24; TXQ4->worker4/CPU25; TXQ5->main/CPU20,private W+1,RXQ spread <=1.816% from finite-flow and RETA quantization,q0-q4 IRQ/NAPI->CPU21-25; TX-only q5 IRQ->CPU20; no auxiliary CPU,true Ethernet64; XDP_ZEROCOPY; mac-reuse; no-syscall-lock; RX/TX2048; gro timeout20us; NAPI defer8; busy poll50 prefer budget16
ConnectX-6 Dx,AF_XDP ZC,strict,final,6,6,,,2048,2048,1048576,1792,cyclic,XSK zero-copy,thread0/CPU20,worker0/CPU21; worker1/CPU22; worker2/CPU23; worker3/CPU24; worker4/CPU25; worker5/CPU26,NIC main workers and IRQ/NAPI local on NUMA0,1,q0->worker0/CPU21; q1->worker1/CPU22; q2->worker2/CPU23; q3->worker3/CPU24; q4->worker4/CPU25; q5->worker5/CPU26,TXQ0->worker0/CPU21; TXQ1->worker1/CPU22; TXQ2->worker2/CPU23; TXQ3->worker3/CPU24; TXQ4->worker4/CPU25; TXQ5->worker5/CPU26; TXQ6->main/CPU20,private W+1,RXQ spread <=2.401% from finite-flow and RETA quantization,q0-q5 IRQ/NAPI->CPU21-26; TX-only q6 IRQ->CPU20; no auxiliary CPU,true Ethernet64; XDP_ZEROCOPY; mac-reuse; no-syscall-lock; RX/TX2048; gro timeout20us; NAPI defer8; busy poll50 prefer budget16
BlueField-3,RDMA-DV,primary,final,1,1,512,2048,,,1048576,1600,striding,eMPW,thread0/CPU1,worker0=thread1/CPU2,NIC main and worker local on NUMA0,1,q0->worker0/thread1/CPU2,worker0/thread1/CPU2->thread-local QP; main/thread0/CPU1 QP also provisioned,thread-local/dedicated,not_applicable,QPN/CQN and main-QP activity not exposed by old artifact; ownership follows thread-local architecture,true Ethernet64; mode=dv; no-multi-seg; rss=ipv4-udp; one QP per VPP thread
BlueField-3,RDMA-DV,primary,final,2,2,512,2048,,,1048576,1600,striding,eMPW,thread0/CPU1,worker0=thread1/CPU2; worker1=thread2/CPU3,NIC main and workers local on NUMA0,1,q0->worker0/thread1/CPU2; q1->worker1/thread2/CPU3,worker0/thread1/CPU2 and worker1/thread2/CPU3 each use a thread-local QP; main QP also provisioned,thread-local/dedicated,RXQ spread 0.0191%-0.4705% across retained windows,QPN/CQN and main-QP activity not exposed by old artifact; ownership follows thread-local architecture,true Ethernet64; mode=dv; no-multi-seg; rss=ipv4-udp; one QP per VPP thread
BlueField-3,RDMA-DV,primary,final,4,4,256,2048,,,1048576,1600,no-striding,eMPW,thread0/CPU1,worker0=thread1/CPU2; worker1=thread2/CPU3; worker2=thread3/CPU4; worker3=thread4/CPU5,NIC main and workers local on NUMA0,1,q0->worker0; q1->worker1; q2->worker2; q3->worker3,main->inactive QP; worker0->QP; worker1->QP; worker2->QP; worker3->QP,thread-local/dedicated,RXQ spread <=0.889%; worker output-node spread <1%,per-QP packet counters not exposed; producer ownership follows thread-local architecture,true Ethernet64; mode=dv; no-striding; no-multi-seg; rss=ipv4-udp; eMPW; maximum under RX pressure
BlueField-3,DPDK mlx5,primary,final,1,1,512,8192,,,524288,1600,,DPDK enhanced MPW,thread0/CPU1,worker0=thread1/CPU2,NIC main worker RXQ and TXQ local on NUMA0,1,q0->worker0/thread1/CPU2,TXQ0->main/thread0/CPU1; TXQ1->worker0/thread1/CPU2,dedicated/non-shared,not_applicable,old artifact proves ownership but not per-TXQ packet deltas,true Ethernet64; two TX queues; CQE compression; vector NEON RX; inline eMPW; mbuf fast-free
BlueField-3,DPDK mlx5,primary,final,2,2,256,512,,,524288,1600,,DPDK enhanced MPW,thread0/CPU1,worker0=thread1/CPU2; worker1=thread2/CPU3,NIC main workers RXQ and TXQ local on NUMA0,1,q0->worker0/thread1/CPU2; q1->worker1/thread2/CPU3,TXQ0->main/thread0/CPU1; TXQ1->worker0/thread1/CPU2; TXQ2->worker1/thread2/CPU3,dedicated/non-shared,RXQ spread 0.6123%-0.9246% across retained windows,old artifact proves ownership but not per-TXQ packet deltas,true Ethernet64; three TX queues; CQE compression; vector NEON RX; inline eMPW; mbuf fast-free
BlueField-3,DPDK mlx5,primary,final,4,4,256,512,,,524288,1600,,DPDK enhanced MPW,thread0/CPU1,worker0=thread1/CPU2; worker1=thread2/CPU3; worker2=thread3/CPU4; worker3=thread4/CPU5,NIC main and workers local on NUMA0,1,q0->worker0; q1->worker1; q2->worker2; q3->worker3,TXQ0->main inactive; TXQ1->worker0; TXQ2->worker1; TXQ3->worker2; TXQ4->worker3,dedicated/non-shared,RXQ and TXQ spread <=0.427%; TXQ0 zero packets,none,true Ethernet64; five TX queues; CQE compression; NEON vector RX; enhanced MPW; inline max64; fast-free; counter-clean near-knee point
BlueField-3,AF_XDP ZC,scope,not_measured,,,,,,,,,,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,excluded from study scope; not a capability claim
